timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ
35740,-0.0718,-0.1293,21.2509,-2.5482,13.0484,-3.7384
35759,-0.0910,0.3448,-0.0862,-2.6245,11.3725,-3.4485
35778,-0.1006,0.4549,21.2940,-3.0212,9.0980,-3.4485
35797,-0.0096,-0.0048,-0.0192,-3.2043,14.3652,-3.5400
35816,-0.0383,0.4310,21.1743,-2.8992,12.6893,-3.8910
35835,-0.0096,0.3926,-0.1341,-3.2196,11.3725,-3.8300
35854,-0.0096,0.3735,21.1647,-3.1433,10.7739,-3.7384
35873,-0.0766,0.4501,21.2366,-2.8076,9.9359,-3.6163
35892,-0.0527,0.3687,-0.0192,-2.4567,8.6191,-3.5095
35911,-0.0527,0.4453,21.2270,-2.9602,12.2104,-3.7231
35930,-0.0527,0.4549,-0.1532,-2.4414,10.7739,-3.4790
35949,-0.0383,0.3496,21.4664,-2.4719,11.4922,-3.5248
35968,-0.0527,0.4501,21.2318,-2.8381,10.7739,-3.7537
35987,-0.0431,-0.1149,21.2605,-3.1128,12.2104,-3.4943
36006,-0.1101,0.3543,-0.0431,-2.6398,12.9287,-3.4485
36025,-0.1101,-0.1389,21.2845,-2.3041,7.3023,-3.5400
36044,2.7821,0.4262,21.2222,-2.8229,11.4922,-3.4485
36064,-0.0958,0.3831,21.1647,-2.7161,10.1754,-3.7384
36083,2.5331,0.3735,21.2270,-3.0518,11.1330,-3.7079
36103,2.7581,0.3400,21.2366,-3.2806,10.2951,-3.4485
36123,-0.0192,0.3304,21.2318,-2.5940,11.1330,-3.6316
36142,-0.1437,0.4070,-0.0910,-3.2806,9.6965,-3.8147
36161,-0.0670,0.4310,-0.0718,-3.3569,11.1330,-3.7537
36180,2.7725,0.4070,21.1983,-2.8229,9.6965,-3.7689
36200,2.7916,-0.0766,-0.1197,-3.0518,13.5272,-3.5706
36219,-0.0431,0.4118,-0.1293,-2.7313,8.8585,-3.7079
36238,2.5857,-0.0766,21.1600,-2.9755,-14.8441,-3.7079
36257,-0.0862,-0.0527,-0.0910,-3.1128,10.0556,-3.5553
36276,-0.0383,0.3400,21.1839,-2.7008,10.6542,-3.7231
36295,-0.0910,0.4022,21.2031,-2.9602,11.2527,-3.6011
36314,-0.0622,-0.1293,-0.0670,-2.7924,7.4220,-3.6621
36333,-0.0718,-0.1437,-0.0766,-3.3112,12.3301,-3.6316
36352,-0.1197,0.3974,-0.0048,-2.9907,-14.9638,-3.6163
36371,2.7677,0.4166,20.9684,-2.8687,12.3301,-3.2654
36391,2.5953,-0.0958,-0.1197,-3.1586,10.8936,-3.5400
36410,-0.1149,0.4166,21.4616,-2.7008,9.8162,-3.4790
36429,-0.1437,-0.1197,-0.0910,-2.6550,7.6614,-3.2959
36448,-0.0862,0.3639,21.2031,-3.0365,14.2455,-3.5553
36467,-0.1293,0.3256,21.1552,-3.1586,14.1258,-3.6774
36486,-0.0287,0.4070,21.2461,-3.1433,11.6119,-3.7231
36505,-0.0144,0.3543,21.2414,-3.3264,11.8513,-3.8147
36524,-0.0670,-0.1149,-0.0431,-3.1128,12.4498,-3.5858
36543,2.8443,-0.1006,21.2509,-3.0670,11.7316,-3.4637
