accX,accY,accZ,gyroX,gyroY,gyroZ,label
1.5371,-2.4421,-0.1293,-0.0458,-2.5139,-1.5717,normal
3.1029,-1.1923,19.6612,-0.7324,-3.711,-2.3499,normal
1.0295,-0.1389,-0.1484,-1.9226,-9.098,-0.1526,normal
3.8116,1.8627,19.7426,-7.1716,-11.3725,-2.8839,normal
-0.091,2.897,20.0586,-15.5029,-11.2527,-14.0991,normal
-0.1437,0.0862,23.6787,-0.061,-4.7884,-3.2501,normal
3.1603,-0.0431,19.4218,1.2817,-9.8162,-0.2899,normal
-0.1293,-0.0766,-0.0622,-1.6479,-4.549,-3.1433,normal
-0.0958,-0.0096,22.6827,-1.5869,93.1344,-0.9766,normal
-0.0383,1.6472,18.5263,-9.8877,9.5768,-0.351,normal
2.217,-0.0718,22.3762,-14.1449,-80.2058,-11.0321,normal
0.0,-1.7957,-0.0096,4.0588,-8.4994,1.1597,normal
-0.0718,-0.0479,19.1057,-0.5951,-19.0339,-1.1139,normal
0.6704,-0.5938,-0.091,1.8921,-9.098,-3.7994,normal
-0.0287,-1.5083,-0.1053,-0.9766,75.4174,-0.412,normal
-0.1149,-0.0862,19.9533,-2.8229,5.7461,-0.6409,normal
1.9872,-0.1341,22.8263,-6.2714,8.4994,-2.6398,normal
4.3383,-0.0527,19.6612,-10.7574,31.7232,-7.7362,normal
-0.0431,1.312,21.452,-10.1471,-0.9577,-0.7935,normal
1.0104,-1.3838,-0.1006,-0.4883,-0.4788,4.1656,normal
3.1173,-0.0192,-0.0144,4.0436,-8.1403,0.3815,normal
-0.0958,2.2936,21.8782,-10.1471,-8.8585,-0.7172,normal
3.4812,-0.0718,21.7968,-0.7019,67.0377,-0.3815,normal
-0.0814,0.996,-0.1293,-1.4191,-29.4487,-14.0991,normal
-0.1484,-0.0479,23.0226,-3.891,-49.7994,-7.2021,normal
1.8579,-0.1245,-0.091,-1.8463,69.1924,4.2114,normal
-0.0383,-0.1724,-0.1389,-0.7782,4.3096,-0.0153,normal
-0.091,-0.0048,-0.1341,-1.709,32.5611,-0.9766,normal
-0.0192,1.6424,19.3691,-1.5869,-15.3229,-2.2278,normal
-0.1293,2.5522,20.8487,-19.104,-9.098,-14.3127,normal
0.972,-0.8332,23.6308,-1.1292,65.8405,-0.8392,normal
2.8826,-2.375,19.4313,5.4626,-7.1826,0.0305,normal
-0.0239,-0.0575,-0.0144,-3.7994,-3.5913,-0.6409,normal
1.2258,-1.2067,-0.0814,-1.6632,-14.2455,-1.7242,normal
3.3902,-0.0096,-0.0718,-0.3357,-0.7183,-0.6714,normal
1.6712,2.4517,21.7824,-7.6447,-50.1585,-6.1798,normal
3.1077,0.0383,-0.0575,-0.2441,-4.7884,-0.7019,normal
4.6783,0.1293,19.0291,-15.4877,-3.1125,-1.6022,normal
-0.0144,-0.0335,23.0466,-2.655,-5.0278,-6.546,normal
-0.1341,-1.8004,-0.0622,-1.4496,-0.7183,5.2948,normal
3.8068,0.9816,19.757,-1.6632,7.5417,-0.5798,normal
-0.0096,-0.4788,23.0657,5.7983,8.26,1.1597,normal
-0.1389,-0.0144,-0.0814,-1.5564,68.5939,-1.6785,normal
4.7405,-0.1006,-0.1293,-1.0223,-17.7171,-1.1444,normal
-0.1245,-0.0622,-0.0335,-5.9967,2.0351,-1.4954,normal
3.4046,-1.2067,19.7139,-6.1188,-9.3374,-0.4578,normal
-0.1341,-0.0527,20.9541,-0.6409,-3.4716,-1.5717,normal
-0.0718,-0.0718,-0.0096,-0.885,103.3098,-1.2054,normal
4.0941,0.6225,-0.0718,-3.0823,-8.1403,-3.0975,normal
2.1931,2.8012,21.8591,-11.1542,-0.3591,-1.2665,normal
3.1556,-0.1341,22.1559,-1.8921,34.1174,-1.1597,normal
3.5195,-0.0862,19.0435,-6.0883,5.0278,-0.8545,normal
-0.1341,-0.0239,-0.0335,8.4229,-7.5417,0.0153,normal
-0.1053,-0.0814,21.4951,4.4861,63.4463,-1.2817,normal
4.7166,2.7964,-0.0096,-11.2762,-8.26,-9.9487,normal
-0.1101,-0.0383,-0.0958,-0.5035,-16.0412,-0.9918,normal
3.984,-1.0822,-0.1245,-1.1444,32.3217,-5.9204,normal
1.8483,-0.0718,-0.1341,-6.485,-6.9432,-11.0931,normal
1.2977,-0.1101,-0.0862,-1.5259,97.5637,5.4779,normal
-0.1484,0.4549,19.3068,0.5341,36.1524,-0.6561,normal
1.6568,0.6847,-0.0718,0.1678,-7.5417,-2.5177,normal
-0.0718,0.6512,23.1136,0.3204,95.0498,-1.9226,normal
-0.0192,-0.0622,-0.067,-0.3815,40.1029,-2.0752,normal
1.8866,-0.0239,22.1703,-0.6104,-58.7777,-6.9885,normal
-0.0048,-0.5842,22.2086,-7.4615,33.5188,0.5798,normal
4.391,-0.0622,19.0578,-1.6327,-19.9916,-14.389,normal
-0.3065,-1.7573,-0.0192,4.425,-2.7533,-3.1281,normal
2.7773,-0.0096,21.452,-0.5646,62.0098,-1.7395,normal
4.6639,-0.0622,19.6516,-6.4392,13.7667,-3.6469,normal
2.1644,1.3408,-0.1293,-6.9733,-29.5684,-1.0529,normal
-0.0096,-0.1341,-0.0287,-1.6327,-11.7316,-1.7395,normal
-0.1341,2.5043,20.3172,-1.9379,-51.7148,-14.0228,normal
1.0678,-0.2298,-0.067,8.5907,-9.3374,1.9226,normal
-0.0287,-2.6384,19.1345,-1.5259,-9.2177,1.0834,normal
1.6089,0.431,22.1559,-1.2207,-2.873,-1.0834,normal
3.4141,0.3112,-0.0862,-6.8054,68.2347,-1.3123,normal
-0.1341,2.1979,18.7131,-1.297,-22.8646,-14.5569,normal
0.656,1.6759,-0.1245,-3.1586,-53.9893,-7.37,normal
1.8579,-0.1197,21.5718,7.9498,-11.2527,-0.2594,normal
-0.1245,-0.1341,-0.1245,1.0071,-5.9855,-3.4943,normal
1.8866,-0.1149,-0.0096,-0.6256,11.7316,1.8158,normal
-0.1053,1.2498,19.7617,-11.4899,-2.5139,-0.0916,normal
2.4565,2.4804,-0.0096,-1.0834,-59.3762,-14.2822,normal
-0.1149,-0.1293,23.4057,-0.4425,-14.1258,-2.7466,normal
2.9066,-2.3798,-0.0239,5.2795,61.8901,0.1068,normal
1.9393,-0.1484,21.1887,-1.0376,-46.9264,-7.7057,normal
1.9441,-0.1293,-0.0766,9.2621,98.6411,-1.9226,normal
-0.0383,-0.0575,19.1488,-1.1902,44.6519,-0.2136,normal
-0.0239,1.2546,22.0937,-1.1597,-3.8307,-1.9531,normal
3.1987,-0.0192,22.1128,-7.2632,64.8829,-0.5798,normal
5.0039,-0.0622,18.828,-15.1062,-1.7957,-14.4043,normal
-0.0287,1.3599,23.0945,-3.1738,-54.2287,-7.019,normal
-0.0048,-2.3607,-0.1245,11.9324,-9.098,-1.6174,normal
3.2082,-0.1149,0.0,-0.1068,9.5768,-0.1831,normal
0.1389,-1.0965,-0.0144,4.8828,-15.8017,1.7395,normal
-0.0287,-0.0527,20.9588,-1.5717,73.6217,5.7526,normal
3.7397,-0.1389,-0.0144,-0.2594,-1.5562,-6.9427,normal
-0.1389,0.3687,23.0226,-2.8839,-16.4003,-2.9297,normal
-0.0862,-0.0479,19.6756,-0.6561,45.7293,-1.6785,normal
-0.1532,2.6001,-0.091,-0.1221,-2.1548,-14.1449,normal
1.2737,-0.1053,-0.1245,5.3101,-14.3652,0.5341,normal
-0.0527,-0.0479,-0.1101,9.1248,-3.8307,0.7782,normal
1.6807,0.3783,-0.1053,-0.3815,-56.0243,-2.5635,normal
-0.1101,-0.1245,22.3714,-2.7008,-8.0206,1.5564,normal
4.6783,-0.0431,18.761,-0.0916,-26.5756,-1.9073,normal
1.9106,1.9297,-0.0862,-1.4038,-8.3797,-9.8114,normal
-0.1053,-2.0734,-0.1053,-0.7782,67.7559,-0.7629,normal
3.0981,-1.6999,-0.0814,-1.236,-7.6614,-3.5706,normal
-0.0335,-0.0862,23.3243,5.2032,-5.2672,0.6866,normal
3.8068,1.0104,-0.1149,-6.1493,-11.971,-1.1902,normal
-0.0622,-0.1053,20.231,-17.8986,-61.1719,-14.267,normal
1.9537,1.0151,-0.0383,0.6714,-11.971,-0.5493,normal
-0.1101,-0.0622,19.6468,-0.1984,-10.4148,0.9003,normal
-0.0192,0.0718,-0.067,-1.8311,-52.3133,-3.2196,normal
2.5235,0.0192,-0.0479,0.6409,99.4791,-1.0834,normal
-0.0144,-0.0096,-0.0048,4.0894,31.0049,-3.3264,normal
-0.0862,-0.1389,22.0889,-9.9335,-11.7316,-6.4392,normal
-0.1245,0.6512,-0.0383,-6.7139,-5.6264,-1.8768,normal
4.9416,1.2881,-0.0622,-1.7242,-24.5406,-1.8463,normal
-0.0575,-0.7757,23.0466,1.0376,-30.5261,-0.2441,normal
-0.1484,-0.1101,-0.0096,-1.7548,67.0377,5.3101,normal
3.5195,-0.0383,19.6803,-1.6937,4.6687,-2.9144,normal
-0.0527,1.5419,22.5199,-1.6174,4.549,-0.6409,normal
-0.0958,-0.0479,-0.1245,-0.5341,-4.9081,-5.8746,normal
-0.0383,-0.091,20.8966,-0.9308,-56.982,-11.5967,normal
-0.0239,-0.0335,23.3722,9.201,103.9083,1.7853,normal
3.1412,-2.3032,-0.0192,-1.8311,43.335,-1.9226,normal
-0.0335,-0.249,-0.0575,0.8545,-46.0884,-3.4332,normal
-0.0096,-0.0239,22.7784,-1.709,99.8382,-0.2747,normal
-0.0383,0.9912,-0.0575,-10.3455,-11.6119,-0.2747,normal
-0.1389,-0.091,-0.0575,-14.74,-1.4365,-10.1318,normal
-0.0622,-1.1349,-0.1293,-3.8452,42.2577,-0.9918,normal
4.3096,-0.2059,-0.1484,-0.7477,-14.2455,-10.2997,normal
-0.1197,-0.0431,23.1328,-0.6409,-0.838,0.2441,normal
2.5857,-0.1053,-0.0527,-1.4343,62.0098,4.9133,normal
-0.1389,2.1644,19.4026,-11.2,4.549,-0.1831,normal
-0.0718,-0.1006,23.0322,-5.8746,5.6264,-1.8463,normal
-0.0144,-0.1053,19.6947,-1.0681,-6.4643,-6.2714,normal
-0.1053,-0.0622,-0.1101,-0.3662,-48.9614,-11.2152,normal
1.245,-0.0096,23.3195,12.0239,103.4295,5.8289,normal
-0.0527,-2.0877,-0.0144,4.0894,-3.4716,-2.5787,normal
1.3072,0.7135,22.1416,-0.946,-25.2588,-1.9073,normal
-0.1293,0.7278,22.5151,-2.8076,-14.2455,0.3662,normal
4.9273,-0.0192,18.7993,-15.4724,-15.5623,-1.0834,normal
-0.0096,-0.0718,22.7736,-3.2806,-61.0521,-0.5188,normal
-0.1389,-0.0814,22.0745,-1.9379,-14.2455,4.5319,normal
-0.1389,-1.3982,0.0,-0.5035,-6.2249,-3.006,normal
0.7374,-0.2969,-0.1197,-1.2665,-4.6687,0.3967,normal
4.1037,-0.1293,-0.1341,-1.1139,-4.0701,-0.1984,normal
-0.067,-0.067,20.2645,-15.3961,-48.3629,-14.4653,normal
1.6281,-0.1484,-0.0192,0.6561,31.2443,-3.3112,normal
2.7869,-0.1101,19.3547,5.4321,-6.8235,-0.3967,normal
-0.0383,0.3974,21.8255,1.1292,-25.8574,-2.7618,normal
2.5857,-0.1197,22.4576,-1.6479,-12.0907,5.7526,normal
4.9033,-0.1293,18.5311,-15.213,-4.1899,-11.3831,normal
1.9297,-0.0958,-0.0958,-11.0626,-12.9287,-11.7187,normal
2.557,-0.0622,21.816,1.9379,-6.3446,0.412,normal
-0.0383,-0.5363,-0.0096,-0.3204,-4.1899,-0.3662,normal
-0.0287,-0.0096,23.602,-0.6104,-53.0316,-7.1716,normal
1.9297,-0.0431,-0.0239,12.6495,-7.6614,8.7585,normal
-0.1484,0.3735,-0.0718,-1.2054,9.8162,-1.0071,normal
1.9297,-0.0096,23.0705,-2.1515,-3.1125,-0.351,normal
4.3958,-0.067,19.6756,-1.0376,39.624,-1.9531,normal
-0.1437,-0.1484,20.9445,-0.7477,-14.4849,-13.7787,normal
1.2402,-0.9146,23.4009,-0.5798,-5.5067,0.8087,normal
-0.1053,-2.0877,-0.1053,8.3771,-8.26,0.7629,normal
-0.0144,-0.0718,21.8686,-1.2054,-57.9397,-3.6163,normal
-0.091,-0.1437,22.0889,-0.1526,-12.4498,-0.0458,normal
-0.067,-0.1293,-0.0096,-14.3127,-17.7171,-11.1847,normal
1.6712,0.9529,23.1136,-0.9613,-80.6846,-11.4136,normal
-0.0192,-1.7765,21.9069,-1.0376,-6.3446,-1.709,normal
2.7916,-1.1588,19.7522,4.5013,14.9638,-0.2289,normal
-0.0862,-1.1971,-0.0383,-1.9226,-1.6759,-3.8605,normal
2.5666,-1.1109,-0.1389,-1.8463,-3.1125,-0.0458,normal
-0.1197,1.8435,-0.0479,-0.6409,2.1548,-7.1259,normal
2.1931,-0.0096,-0.0096,-0.3052,-12.5696,-2.8229,normal
-0.0144,-0.0575,-0.0622,-0.3662,35.7933,-6.3782,normal
-0.091,1.3647,20.6763,-0.6561,-58.4185,-13.9008,normal
-0.0383,-2.0303,-0.0431,-1.7548,96.2469,3.9062,normal
3.2034,-0.067,-0.1053,-1.236,-3.2322,-1.1292,normal
-0.0862,2.5283,-0.1149,0.0,-4.0701,-0.9766,normal
2.8826,-0.1484,23.0466,-1.0681,93.3739,3.9215,normal
-0.1245,0.1149,-0.1484,0.9003,31.6035,-2.2583,normal
-0.0958,-0.0287,-0.0192,-11.1237,-5.387,-0.9003,normal
-0.0766,-0.9146,-0.0383,-1.9226,-13.8864,-1.0223,normal
-0.067,-0.1197,19.417,-1.236,-12.2104,-10.0708,normal
-0.0048,-1.3982,-0.1341,-1.1597,-5.1475,-0.0763,normal
3.1699,-0.0575,21.2174,4.2877,76.1356,5.8136,normal
-0.1293,-0.1197,19.7139,-0.0916,7.3023,-0.4272,normal
-0.0527,-0.1389,-0.1484,-2.655,-8.26,-2.533,normal
-0.0144,-0.1437,-0.0287,-10.9253,38.0678,-0.3967,normal
3.1125,0.9768,-0.1149,-14.2059,-1.4365,-13.7787,normal
0.9194,-0.0527,-0.1053,-0.7782,-8.4994,-0.6866,normal
2.8778,-0.0479,-0.0575,-0.3815,41.5394,0.8087,normal
1.8962,2.1739,21.8016,-0.4883,-9.2177,-3.3569,normal
-0.1293,-0.1197,-0.0096,-0.9766,73.9808,0.7172,normal
5.0374,1.0151,-0.0479,-0.8392,-3.4716,-14.0381,normal
