accX,accY,accZ,gyroX,gyroY,gyroZ,label
-0.091,0.3448,-0.0862,-2.6245,11.3725,-3.4485,fault
-0.1006,0.4549,21.294,-3.0212,9.098,-3.4485,fault
-0.0096,-0.0048,-0.0192,-3.2043,14.3652,-3.54,fault
-0.0383,0.431,21.1743,-2.8992,12.6893,-3.891,fault
-0.0096,0.3926,-0.1341,-3.2196,11.3725,-3.83,fault
-0.0096,0.3735,21.1647,-3.1433,10.7739,-3.7384,fault
-0.0766,0.4501,21.2366,-2.8076,9.9359,-3.6163,fault
-0.0527,0.3687,-0.0192,-2.4567,8.6191,-3.5095,fault
-0.0527,0.4453,21.227,-2.9602,12.2104,-3.7231,fault
-0.0527,0.4549,-0.1532,-2.4414,10.7739,-3.479,fault
-0.0383,0.3496,21.4664,-2.4719,11.4922,-3.5248,fault
-0.0527,0.4501,21.2318,-2.8381,10.7739,-3.7537,fault
-0.0431,-0.1149,21.2605,-3.1128,12.2104,-3.4943,fault
-0.1101,0.3543,-0.0431,-2.6398,12.9287,-3.4485,fault
-0.1101,-0.1389,21.2845,-2.3041,7.3023,-3.54,fault
2.7821,0.4262,21.2222,-2.8229,11.4922,-3.4485,fault
-0.0958,0.3831,21.1647,-2.7161,10.1754,-3.7384,fault
2.5331,0.3735,21.227,-3.0518,11.133,-3.7079,fault
2.7581,0.34,21.2366,-3.2806,10.2951,-3.4485,fault
-0.0192,0.3304,21.2318,-2.594,11.133,-3.6316,fault
-0.1437,0.407,-0.091,-3.2806,9.6965,-3.8147,fault
-0.067,0.431,-0.0718,-3.3569,11.133,-3.7537,fault
2.7725,0.407,21.1983,-2.8229,9.6965,-3.7689,fault
2.7916,-0.0766,-0.1197,-3.0518,13.5272,-3.5706,fault
-0.0431,0.4118,-0.1293,-2.7313,8.8585,-3.7079,fault
2.5857,-0.0766,21.16,-2.9755,-14.8441,-3.7079,fault
-0.0862,-0.0527,-0.091,-3.1128,10.0556,-3.5553,fault
-0.0383,0.34,21.1839,-2.7008,10.6542,-3.7231,fault
-0.091,0.4022,21.2031,-2.9602,11.2527,-3.6011,fault
-0.0622,-0.1293,-0.067,-2.7924,7.422,-3.6621,fault
-0.0718,-0.1437,-0.0766,-3.3112,12.3301,-3.6316,fault
-0.1197,0.3974,-0.0048,-2.9907,-14.9638,-3.6163,fault
2.7677,0.4166,20.9684,-2.8687,12.3301,-3.2654,fault
2.5953,-0.0958,-0.1197,-3.1586,10.8936,-3.54,fault
-0.1149,0.4166,21.4616,-2.7008,9.8162,-3.479,fault
-0.1437,-0.1197,-0.091,-2.655,7.6614,-3.2959,fault
-0.0862,0.3639,21.2031,-3.0365,14.2455,-3.5553,fault
-0.1293,0.3256,21.1552,-3.1586,14.1258,-3.6774,fault
-0.0287,0.407,21.2461,-3.1433,11.6119,-3.7231,fault
-0.0144,0.3543,21.2414,-3.3264,11.8513,-3.8147,fault
-0.067,-0.1149,-0.0431,-3.1128,12.4498,-3.5858,fault
2.8443,-0.1006,21.2509,-3.067,11.7316,-3.4637,fault
-0.0383,0.3543,21.1456,-3.1128,12.3301,-3.7842,fault
2.7725,-0.1053,21.1935,-3.067,14.2455,-3.5858,fault
2.7581,0.3831,21.2557,-2.6703,9.9359,-3.7231,fault
-0.0575,0.3496,21.1743,-2.655,10.0556,-3.3569,fault
-0.0287,0.3735,21.5813,-3.2349,12.4498,-3.7079,fault
-0.0575,0.3735,21.2461,-2.8534,11.3725,-3.7689,fault
2.7581,0.3879,-0.1101,-2.7008,9.4571,-3.6316,fault
-0.1053,-0.1053,21.2749,-2.8992,9.8162,-3.7689,fault
-0.0192,0.4357,21.2461,-3.1433,14.1258,-3.6163,fault
-0.1149,-0.1484,-0.1437,-2.8687,9.9359,-3.6316,fault
-0.091,0.3879,21.2797,-2.6398,8.9783,-3.418,fault
-0.1341,0.3543,-0.1101,-2.6398,8.9783,-3.5858,fault
-0.1006,-0.1389,21.2509,-2.8687,11.0133,-3.8452,fault
-0.1245,0.3543,21.2318,-3.4027,14.3652,-3.6011,fault
-0.0958,0.3687,-0.1245,-2.5482,8.9783,-3.3417,fault
-0.1101,0.4262,21.2749,-2.7618,12.6893,-3.7994,fault
-0.0527,-0.0287,21.2078,-2.8534,14.4849,-3.4943,fault
2.7821,-0.0814,21.2222,-2.8839,10.8936,-3.7231,fault
-0.0239,-0.0622,-0.0096,-2.7161,7.0629,-3.6011,fault
-0.1101,0.3448,-0.1197,-2.4872,8.3797,-3.418,fault
-0.0527,-0.1437,20.9588,-2.9144,9.2177,-3.5706,fault
2.7581,-0.1532,21.5095,-3.0975,14.3652,-3.4943,fault
-0.0239,0.3926,-0.0958,-3.2654,13.0484,-3.6469,fault
2.7773,0.407,21.2509,-2.8992,10.0556,-3.4637,fault
-0.1437,0.407,21.1935,-2.655,10.5345,-3.6774,fault
-0.1197,-0.0718,21.1983,-2.7008,10.6542,-3.4485,fault
-0.1101,0.4166,-0.1484,-2.4109,9.9359,-3.6011,fault
-0.0527,0.3974,21.2892,-2.9755,9.2177,-3.5553,fault
-0.0479,0.4501,-0.1389,-2.8687,10.8936,-3.4332,fault
-0.0862,-0.1101,21.2126,-2.9144,11.3725,-3.7384,fault
2.5809,0.4549,-0.0287,-3.1891,11.6119,-3.6926,fault
-0.0718,0.3735,-0.0718,-2.5177,10.1754,-3.6621,fault
-0.0862,-0.1341,-0.0622,-2.5787,9.8162,-3.3112,fault
2.7869,0.431,21.2892,-2.3499,10.6542,-3.6469,fault
2.7821,0.407,21.2653,-2.7313,8.9783,-3.6621,fault
-0.1053,-0.1484,-0.0958,-2.9297,9.5768,-3.5706,fault
-0.0048,-0.1293,21.2318,-2.7466,8.9783,-3.7231,fault
-0.1245,-0.1484,21.2078,-3.006,14.3652,-3.4332,fault
-0.0479,0.3735,-0.1484,-3.2654,12.0907,-3.7842,fault
-0.1053,0.3831,-0.1293,-2.7618,9.5768,-3.4637,fault
2.8491,0.3543,21.2557,-2.533,12.3301,-3.7384,fault
2.8347,0.3926,21.2414,-2.3804,10.5345,-3.418,fault
-0.0048,0.3879,21.2318,-2.7008,8.8585,-3.3722,fault
-0.1006,0.316,21.2461,-3.2043,10.7739,-3.7842,fault
-0.1484,0.3639,-0.1484,-3.0975,13.5272,-0.0153,fault
-0.0575,0.3783,-0.0766,-2.8534,10.2951,-3.5858,fault
-0.0958,-0.1101,-0.1053,-2.5482,7.6614,-3.4637,fault
2.7869,-0.1532,21.1839,-2.6703,9.4571,-3.3264,fault
-0.091,0.3783,21.2031,-2.9602,13.1681,-3.54,fault
-0.091,-0.0958,21.2845,-3.2196,14.1258,-3.8605,fault
-0.0383,0.4166,-0.1101,-3.3112,11.4922,-3.6469,fault
-0.1006,0.4166,-0.1293,-2.4719,11.7316,-3.6163,fault
2.7677,0.4501,-0.1149,-3.1128,13.6469,-3.7384,fault
